profile,metric,run4_value,run5_value,unit,status,interpretation
axi,instances,43956,42881,count,OBSERVED,1075 fewer instances
axi,cell_area,123906.258,126069.441,um2,OBSERVED,1.75 percent standard-cell area increase
axi,die_area,181147.786,230032.848,um2,OBSERVED,26.99 percent lower-density floorplan increase
axi,placement_density,83.388,65.274,percent,OBSERVED,room for buffer and driver placement
axi,routed_wire_length,953367.865,812624.320,um,OBSERVED,14.76 percent decrease
axi,via_count,346666,313004,count,OBSERVED,9.71 percent decrease
axi,setup_wns,2.661,2.703,ns,PASS,100 MHz stated engineering OCV
axi,hold_wns,0.000,0.000,ns,PASS,zero negative slack
axi,hold_tns,0.000,0.000,ns,PASS,zero aggregate violation
axi,hold_paths,0,0,count,PASS,zero violating paths
axi,max_transition_nets,141,0,count,PASS,data transition closed
axi,max_transition_terminals,1149,0,count,PASS,data transition closed
axi,clock_slew_violations,0,0,count,PASS,60 ps target worst 0.056 ns
axi,internal_route_drc,0,0,count,PASS,Innovus internal check only
axi,vectorless_power,3.71285384,3.58433691,mW,ESTIMATE,default activity 0.10
axi,mapped_to_postroute_lec,6287,6287,count,PASS,diff abort unknown all zero
