profile,metric,run5_value,run6_value,unit,status,interpretation
axi,instances,42881,44602,count,OBSERVED,1721-instance guardband cost
axi,cell_area,126069.441,131487.003,um2,OBSERVED,4.30 percent increase
axi,die_area,230032.848,230032.848,um2,OBSERVED,same 50 percent floorplan die
axi,placement_density,65.274,68.079,percent,OBSERVED,2.805 percentage-point increase
axi,routed_wire_length,812624.320,933258.465,um,OBSERVED,14.85 percent increase
axi,via_count,313004,331718,count,OBSERVED,5.98 percent increase
axi,setup_wns,2.703,2.602,ns,PASS,100 MHz stated engineering OCV
axi,hold_wns,0.000,0.010,ns,PASS,10 ps residual after 100 ps uncertainty
axi,hold_tns,0.000,0.000,ns,PASS,zero aggregate violation
axi,hold_paths,0,0,count,PASS,zero violating paths
axi,max_transition_nets,0,0,count,PASS,data transition closure maintained
axi,max_transition_terminals,0,0,count,PASS,data transition closure maintained
axi,clock_slew_violations,0,0,count,PASS,60 ps target worst 0.057 ns
axi,internal_route_drc,0,0,count,PASS,Innovus internal check only
axi,vectorless_power,3.58433691,3.71636663,mW,ESTIMATE,3.68 percent guardband cost
axi,mapped_to_postroute_lec,6287,6287,count,PASS,diff abort unknown all zero
