profile,stage,metric,run4_value,run5_value,unit,status,evidence,claim_boundary
axi,postroute,instance_count,43956,42881,count,OBSERVED,final_checkpoint/area.rpt,1075 fewer instances than run4
axi,postroute,cell_area,123906.258,126069.441,um2,OBSERVED,final_checkpoint/area.rpt,1.75 percent standard-cell area increase
axi,postroute,die_width,426.200,481.200,um,OBSERVED,final_checkpoint/final.def,lower-density floorplan
axi,postroute,die_height,425.030,478.040,um,OBSERVED,final_checkpoint/final.def,lower-density floorplan
axi,postroute,die_area,181147.786,230032.848,um2,OBSERVED,final_checkpoint/final.def,26.99 percent die-area increase
axi,postroute,placement_density,83.388,65.274,percent,OBSERVED,final_checkpoint/time_design_hold.summary,placeable-area denominator
axi,route,routed_wire_length,953367.865,812624.320,um,OBSERVED,final_checkpoint/final.def,regular NETS Manhattan length
axi,route,via_count,346666,313004,count,OBSERVED,final_checkpoint/final.def,via-master token count
axi,timing,setup_wns,2.661,2.703,ns,PASS,final_checkpoint/timing_setup.rpt,100 MHz explicit OCV-view report
axi,timing,hold_wns,0.000,0.000,ns,PASS,final_checkpoint/timing_hold.rpt,zero negative hold slack
axi,timing,hold_tns,0.000,0.000,ns,PASS,final_checkpoint/time_design_hold.summary,aggregate all-path hold
axi,timing,hold_violating_paths,0,0,count,PASS,final_checkpoint/time_design_hold.summary,zero violating hold paths
axi,timing,max_transition_nets,141,0,count,PASS,final_checkpoint/time_design_setup.tran,zero data transition violations
axi,timing,max_transition_terminals,1149,0,count,PASS,final_checkpoint/time_design_setup.tran,zero violating terminals
axi,timing,clock_slew_violations,0,0,count,PASS,final_checkpoint/ccopt_clock_trees_60ps.rpt,60 ps engineering target
axi,timing,clock_slew_worst,0.059,0.056,ns,PASS,final_checkpoint/ccopt_clock_trees_60ps.rpt,below 0.060 ns target
axi,route,internal_drc,0,0,count,PASS,final_checkpoint/internal_route_drc.rpt,Innovus internal check not foundry DRC
axi,power,vectorless_total,3.71285384,3.58433691,mW,ESTIMATE,final_checkpoint/power_vectorless.rpt,default activity 0.10 not workload power
axi,equivalence,compared_points,6287,6287,count,PASS,lec/result_summary.txt,diff abort unknown all zero
