executed_snapshot_path,sha256,source_path_at_run,note
executed_snapshot/constraints/core_100mhz.sdc,a5660719f6323a89b70dbfd0bdf8faeef1b5d9517adb19aac9ca868f932f16e7,design/digital/asic/gpdk45/constraints/core_100mhz.sdc,executed constraint
executed_snapshot/rtl/snn_ecg_asic_core_top.v,17ab8e04d4a96e4be6d86b2f5d6c5eb3d6a5df042f957f51c8c14de7b7a4cad8,design/digital/asic/gpdk45/rtl/snn_ecg_asic_core_top.v,executed wrapper
executed_snapshot/scripts/export_layout.tcl,9556a19b35ced176d8db30be142f9e733adc337c28c9300101c8221dd4a1488e,design/digital/asic/gpdk45/scripts/export_layout.tcl,executed routed GIF export
executed_snapshot/scripts/mmmc.tcl,8c48650ec74712ea35d816bf8fe69f373791217bd92eccbc39ca7ec51b1d4da2,design/digital/asic/gpdk45/scripts/mmmc.tcl,executed MMMC
executed_snapshot/scripts/report_mapped_netlist.tcl,906210d5d6718bc0ccc233ce37a456a406af14971946e2970060ae74cc8047b8,design/digital/asic/gpdk45/scripts/report_mapped_netlist.tcl,executed mapped readback report
executed_snapshot/scripts/report_routed_checkpoint.tcl,f6ddda12e20d0dfc6b2a44878b13be875396fe7bffe3f775a4b8484e6a75b93b,design/digital/asic/gpdk45/scripts/report_routed_checkpoint.tcl,executed recovery report; timeDesign failed and subsequent explicit reports and exports completed
executed_snapshot/scripts/rtl_files.tcl,7ff5bfef5f00460a612144961d4d69424b86565d489a260ed49ca5494e94f90a,design/digital/asic/gpdk45/scripts/rtl_files.tcl,executed source list
executed_snapshot/scripts/run_genus.tcl,cbf8c2c727a30978b7472047567e014ecce4b21831346f0df7526e0f7bf3fdc1,design/digital/asic/gpdk45/scripts/run_genus.tcl,executed script reached syn_map then syn_opt license failure; mapped fv_map was recovered
executed_snapshot/scripts/run_innovus.tcl,fbc1f78b17355034bb7d3e32f373f22a73f0564928bace24f8dd5551988e73f0,design/digital/asic/gpdk45/scripts/run_innovus.tcl,executed script reached route and high extraction then stopped at Non-OCV post-route optimization
executed_snapshot/scripts/xcelium_wrapper_smoke.f,41f8cf18b5059e331a72601e86f6ea1967f2d865a32cb923a6e1fdb68740e2ec,design/digital/asic/gpdk45/scripts/xcelium_wrapper_smoke.f,executed simulation file list
executed_snapshot/sim/tb_asic_core_wrapper_smoke.v,ea1fa07cf4787bed2f3df52e6c236adcb1c5b02310e1b6f6459c46af6e2216ea,design/digital/asic/gpdk45/sim/tb_asic_core_wrapper_smoke.v,executed reduced-parameter smoke testbench
