destination,source_relative,source_sha256,public_sha256,public_size_bytes,redaction_count
axi/reports/genus_summary.txt,axi/reports/genus_summary.txt,e692e1b8c841eb2a882b326bf4c7c022a2f931c936bd8f62b3389e95c8603fc4,e692e1b8c841eb2a882b326bf4c7c022a2f931c936bd8f62b3389e95c8603fc4,311,0
axi/reports/innovus_summary.txt,axi/reports/innovus_summary.txt,6d4cfbd7a8dce4b5dc91d2547a38f057da4e51b084acbe3962b2e81b5dd323f7,6d4cfbd7a8dce4b5dc91d2547a38f057da4e51b084acbe3962b2e81b5dd323f7,857,0
axi/results/physical_checks.csv,axi/results/physical_checks.csv,3ce228b053b087426395e4b82ef12bde05976467e9843f320e75a55baa0544fd,3ce228b053b087426395e4b82ef12bde05976467e9843f320e75a55baa0544fd,1761,0
axi/results/ppa_summary.csv,axi/results/ppa_summary.csv,6e4d8f5d638c54a5b684c2813fdc531d13a5141143826cfe643e1fd114687d1b,6e4d8f5d638c54a5b684c2813fdc531d13a5141143826cfe643e1fd114687d1b,3669,0
core/reports/genus_summary.txt,core/reports/genus_summary.txt,173bb96b9025186ba13c7c42a7f521435616ebd0a5c9c45a036394d11eb6c109,173bb96b9025186ba13c7c42a7f521435616ebd0a5c9c45a036394d11eb6c109,297,0
core/reports/innovus_summary.txt,core/reports/innovus_summary.txt,a26f8a6cbaacc6cc6247a8dee1d65085da79b652be610071fb80081673b0f125,a26f8a6cbaacc6cc6247a8dee1d65085da79b652be610071fb80081673b0f125,821,0
core/reports/ocv_assumption.txt,core/reports/ocv_assumption.txt,096cd0710890cb9c1eb33eedb7cb75a3e124f2f56d86d04b9c3513f4dece668c,096cd0710890cb9c1eb33eedb7cb75a3e124f2f56d86d04b9c3513f4dece668c,650,0
core/results/physical_checks.csv,core/results/physical_checks.csv,09e14355d32e1b16ee7b84142335b4be201574e7870c6097a196ce07a487bf0d,09e14355d32e1b16ee7b84142335b4be201574e7870c6097a196ce07a487bf0d,1588,0
core/results/ppa_summary.csv,core/results/ppa_summary.csv,3aedd3125be3b978fac2426e0ea7b717b77b49ca2258b7a9fa493565b69f6d49,3aedd3125be3b978fac2426e0ea7b717b77b49ca2258b7a9fa493565b69f6d49,3305,0
figures/axi_routed.gif,figures/axi_routed.gif,581ff23c1c47af4f7cc541b02ac0540db8b70e2493f7104cb42f059d7ff3b96a,581ff23c1c47af4f7cc541b02ac0540db8b70e2493f7104cb42f059d7ff3b96a,30978,0
figures/core_routed.gif,figures/core_routed.gif,658f6c47d952571f9eb30b7a42ac99de051d1b801e76e10da91bba027016a2d6,658f6c47d952571f9eb30b7a42ac99de051d1b801e76e10da91bba027016a2d6,31354,0
gate/gate_verification_summary.csv,gate/gate_verification_summary.csv,4a0a4c633dc42d0abb5d95a59f13cee43aa7c2dc639a091c2d9c6d03183e8c4b,4a0a4c633dc42d0abb5d95a59f13cee43aa7c2dc639a091c2d9c6d03183e8c4b,1524,0
gate/x_pessimism_boundary.txt,gate/x_pessimism_boundary.txt,bae2e97f894bc08a42d6e3dcfad3c6409fd376711d20bbe5aa8ed5a0fee8ed6b,bae2e97f894bc08a42d6e3dcfad3c6409fd376711d20bbe5aa8ed5a0fee8ed6b,446,0
lec/equivalence_summary.csv,lec/equivalence_summary.csv,055dbaf7f2f8e95d7ba9e243dbeb89f09e0192f1d5dfbd9e16708de0ace5af74,055dbaf7f2f8e95d7ba9e243dbeb89f09e0192f1d5dfbd9e16708de0ace5af74,207,0
lec/result_summary.txt,lec/result_summary.txt,b5075f35cc4e0fb9d329a0cefa32040e5638db4788f0945a0e8cdc6d13fa00a9,b5075f35cc4e0fb9d329a0cefa32040e5638db4788f0945a0e8cdc6d13fa00a9,255,0
manifests/canonical_digital_36.manifest,manifests/canonical_digital_36.manifest,54ff985bd9288aebb0d06503ce1d5c685dec2a64ac7720be1fb9e697c2245aa1,172c9af137b776d364ed9c959f5d4f46a90db006721339225e82157a4a294d4b,5614,36
manifests/manifest_audit.json,manifests/manifest_audit.json,d0e654d47a6dbf41b22eda740bdcc24d4013578de9633a16c60d5df1f4b55b38,0cc4003a1cd7a2249053cbbaf90d283d79b989e024366610c9b75d1dd2195e3a,20325,80
manifests/raw_xmodel_4.manifest,manifests/raw_xmodel_4.manifest,c63c3af1d89b23b8f03c04d4e91daa426e519ed9576b66412b3202937ddcd646,1fae44abf7aa45d2f6a60be232a2186ac561a2b7bcabad10800fcec93b4bf57e,585,4
pg/attempt_summary.csv,pg/attempt_summary.csv,bef5fcca948df2e9da2466d31c8e4144817a708b09dc0ffc1420d46bc3c7fba7,bef5fcca948df2e9da2466d31c8e4144817a708b09dc0ffc1420d46bc3c7fba7,1551,0
pg/failure_reason.txt,pg/failure_reason.txt,f0f70560a7f7390420723b6e60fd1eb03ed4cdf3319855d476f110ab539f692c,f0f70560a7f7390420723b6e60fd1eb03ed4cdf3319855d476f110ab539f692c,59,0
power/activity_annotation_summary.txt,power/activity_annotation_summary.txt,e3c1c483ee3ba39e821cea3c84faa65bb4fc50cfb8356d3feb49c03943fe5cff,e3c1c483ee3ba39e821cea3c84faa65bb4fc50cfb8356d3feb49c03943fe5cff,1307,0
power/activity_power_summary.csv,power/activity_power_summary.csv,e3274b98cbe861945b7901dae9c4cf2aba4232cd78741dd249f801e9a302452b,e3274b98cbe861945b7901dae9c4cf2aba4232cd78741dd249f801e9a302452b,3516,0
README_KR.md,README_KR.md,af75bc09ef4bbfa870e547b3358ddd65b10f187a3099c67f0cf31cb043bee337,af75bc09ef4bbfa870e547b3358ddd65b10f187a3099c67f0cf31cb043bee337,616,0
