case_id,expected_class,final_pred_class,pass,final_valid,samples,cycles,expected_mem_nsr,final_mem_nsr,expected_mem_chf,final_mem_chf,expected_mem_arr,final_mem_arr,expected_mem_aff,final_mem_aff
9,3,3,1,1,1800000,5401263,0,0,0,0,0,0,30,30
10,3,3,1,1,1800000,5401263,0,0,0,0,5,5,25,25
11,3,3,1,1,1800000,5401263,10,10,-15,-15,14,14,31,31
12,2,2,1,1,1800000,5401263,12,12,0,0,17,17,1,1
13,0,0,1,1,1800000,5401263,17,17,0,0,8,8,5,5
14,3,3,1,1,1800000,5401263,7,7,0,0,8,8,15,15
15,3,3,1,1,1800000,5401263,2,2,0,0,0,0,28,28
16,3,3,1,1,1800000,5401263,0,0,0,0,0,0,30,30
17,3,3,1,1,1800000,5401263,0,0,0,0,0,0,30,30
35,2,2,1,1,1800000,5401263,0,0,1,1,29,29,0,0
37,2,2,1,1,1800000,5401263,8,8,1,1,21,21,0,0
45,2,2,1,1,1800000,5401263,7,7,1,1,21,21,1,1
49,0,0,1,1,1800000,5401263,15,15,0,0,4,4,11,11
52,2,2,1,1,1800000,5401263,1,1,0,0,20,20,9,9
56,2,2,1,1,1800000,5401263,0,0,0,0,30,30,0,0
58,2,2,1,1,1800000,5401263,0,0,0,0,30,30,0,0
60,0,0,1,1,1800000,5401263,27,27,0,0,3,3,0,0
64,2,2,1,1,1800000,5401263,6,6,0,0,24,24,0,0
83,1,1,1,1,1800000,5401263,0,0,35,35,2,2,3,3
84,3,3,1,1,1800000,5401263,1,1,-3,-3,10,10,32,32
85,1,1,1,1,1800000,5401263,0,0,42,42,4,4,-6,-6
86,1,1,1,1,1800000,5401263,0,0,25,25,4,4,1,1
87,3,3,1,1,1800000,5401263,0,0,-3,-3,9,9,34,34
90,0,0,1,1,1800000,5401263,17,17,12,12,1,1,0,0
91,1,1,1,1,1800000,5401263,0,0,29,29,0,0,1,1
100,1,1,1,1,1800000,5401263,2,2,27,27,1,1,0,0
101,1,1,1,1,1800000,5401263,0,0,25,25,5,5,0,0
104,0,0,1,1,1800000,5401263,24,24,0,0,4,4,2,2
105,0,0,1,1,1800000,5401263,12,12,0,0,12,12,6,6
110,0,0,1,1,1800000,5401263,30,30,0,0,0,0,0,0
111,0,0,1,1,1800000,5401263,30,30,0,0,0,0,0,0
116,0,0,1,1,1800000,5401263,29,29,0,0,1,1,0,0
117,0,0,1,1,1800000,5401263,29,29,0,0,1,1,0,0
132,0,0,1,1,1800000,5401263,30,30,0,0,0,0,0,0
133,0,0,1,1,1800000,5401263,29,29,0,0,1,1,0,0
134,0,0,1,1,1800000,5401263,26,26,0,0,1,1,3,3
